acceptedParentName,numOccurrences,timeTaken
Citharexylum mexicanum,63,5.36552548408508
Citharexylum oleinum,279,3.75838565826416
Citharexylum ovatifolium,64,0.655709028244019
Citharexylum racemosum,43,1.01818251609802
Citharexylum rosei,73,1.58608198165894
Citharexylum roxanae,91,3.48318934440613
Citharexylum schottii,151,4.09337615966797
Citharexylum shrevei,2,0.25764012336731
Eugenia oerstediana,1309,21.4805607795715
Citharexylum steyermarkii,28,1.18523025512695
Citharexylum tetramerum,69,1.45197105407715
Cladocolea andrieuxii,80,1.59826636314392
Eugenia venezuelensis,788,8.62254762649536
Cladocolea coyucae,40,0.611007690429688
Cladocolea cupulata,69,0.643470764160156
Cladocolea dimorpha,7,0.2527756690979
Cladocolea diversifolia,60,1.41207599639893
Cladocolea glauca,57,0.720698595046997
Cladocolea gracilis,62,0.715422868728638
Eugenia xalapensis,380,6.88649082183838
Cladocolea loniceroides,363,7.54661321640015
Cladocolea mcvaughii,41,0.784374475479126
Cladocolea microphylla,263,4.0582582950592
Cladocolea oligantha,132,2.16144371032715
Cladocolea pedicellata,77,0.84619951248169
Cladocolea stricta,12,0.286723613739014
Amaranthus scariosus,165,2.78586006164551
Amaranthus tortuosus,2595,14.3761551380157
Clarkia affinis,580,3.33423686027527
Clarkia amoena,5698,96.5646703243256
Clarkia arcuata,323,7.21704316139221
Clarkia biloba,1271,19.883528470993
Clarkia bottae,3540,26.5670478343964
Clarkia cylindrica,1576,26.9633903503418
Clarkia davyi,325,6.23023581504822
Clarkia delicata,543,8.49138331413269
Clarkia dudleyana,1115,10.4022324085236
Clarkia epilobioides,1583,20.0278401374817
Clarkia exilis,77,5.63652443885803
Clarkia franciscana,259,3.78803658485413
Clarkia imbricata,51,0.795496702194214
Clarkia jolonensis,83,0.938412189483643
Clarkia lassenensis,314,5.95029878616333
Clarkia lewisii,222,2.69845676422119
Clarkia lingulata,41,0.470928192138672
Clarkia modesta,419,3.50983142852783
Clarkia prostrata,135,1.47713375091553
Clarkia pulchella,2834,25.8965187072754
Clarkia purpurea,11159,287.585246086121
Clarkia rhomboidea,1732,20.2902445793152
Clarkia rostrata,137,1.06018376350403
Clarkia rubicunda,3674,18.823832988739
Clarkia similis,350,2.53345322608948
Clarkia speciosa,944,9.84243893623352
Clarkia springvillensis,111,0.913630247116089
Clarkia stellata,157,0.795956134796143
Clarkia virgata,89,0.777243375778198
Clarkia williamsonii,892,5.33357381820679
Myrcia amazonica,3155,22.1532971858978
Claytonia arenicola,461,3.53820157051086
Celosia floribunda,380,2.41533279418945
Claytonia caroliniana,11156,115.638667345047
Aeschynomene pratensis,485,4.86003661155701
Claytonia cordifolia,1346,9.22580218315125
Myrcia splendens,36545,2151.71693968773
Myrciaria floribunda,7705,52.1535820960999
Claytonia lanceolata,7053,51.9857242107391
Claytonia nevadensis,208,2.72631883621216
Celosia virgata,392,3.76846837997437
Claytonia rosea,1283,9.21756982803345
Claytonia rubra,4730,44.0355291366577
Claytonia saxosa,179,6.22551226615906
Claytonia scammaniana,211,3.55241084098816
Aeschynomene unijuga,59,1.4359347820282
Chamissoa altissima,7102,44.3805174827576
Aeschynomene villosa,1339,15.5037155151367
Psidium guajava,30602,1195.82429480553
Psidium oligospermum,3914,25.9996950626373
Claytonia washingtoniana,173,2.07109761238098
Aeschynomene virginica,1007,5.30071830749512
Syzygium mirandae,2,0.349852800369263
Syzygium nervosum,1545,7.34167098999023
Ugni myricoides,1876,19.7153992652893
Clematis addisonii,156,2.4685959815979
Clematis albicoma,289,2.37578558921814
Clematis baldwinii,726,4.93083381652832
Clematis bigelovii,70,2.63883686065674
Halodule wrightii,3866,16.7756597995758
Clematis caleoides,74,0.857219696044922
Najas gracillima,2052,37.0781328678131
Clematis coactilis,173,2.18966913223267
Clematis coahuilensis,62,1.24307131767273
Phyllospadix scouleri,2163,16.6921837329865
Phyllospadix serrulatus,236,5.55379891395569
Phyllospadix torreyi,3258,35.1941945552826
Clematis columbiana,2464,37.3296096324921
Potamogeton amplifolius,4308,30.4074127674103
Potamogeton confervoides,22248,598.750227212906
Clematis crispa,3804,36.4278512001038
Potamogeton hillii,781,6.53182697296143
