acceptedParentName,numOccurrences,timeTaken
Thelypteris rhachiflexuosa,71,2.89269781112671
Botrychium socorrense,17,0.501087665557861
Opuntia oricola,870,5.62051129341126
Dryopteris expansa,62954,2964.57647657394
Opuntia phaeacantha,8161,79.257726430893
Opuntia pilifera,615,10.8297126293182
Tectaria fimbriata,400,19.6584088802338
Ageratum albidum,158,3.18642735481262
Opuntia pycnantha,138,3.93317484855652
Microgramma percussa,8580,124.076130151749
Arbutus arizonica,1993,16.5400862693787
Ageratum corymbosum,3946,43.6471915245056
Ageratum echioides,200,5.78017377853394
Opuntia rastrera,582,6.51761937141419
Ageratum houstonianum,20138,563.326435089111
Polystichum mickelii,121,1.84087634086609
Ageratum microcephalum,217,2.39132571220398
Ageratum paleaceum,164,3.3907618522644
Opuntia scheeri,100,2.03579688072205
Athyrium palmense,175,4.56773090362549
Arbutus occidentalis,371,2.81526517868042
Grammitis limula,467,4.82837247848511
Asplenium septentrionale,59974,2771.67755579948
Opuntia tapona,296,4.54605150222778
Elaphoglossum peltatum,4761,68.8826406002045
Opuntia tehuantepecana,51,1.85437297821045
Pleopeltis thyssanolepis,2511,29.5690319538116
Pleopeltis riograndensis,83,1.5418267250061
Woodsia glabella,2751,21.2723512649536
Opuntia velutina,579,8.26450085639954
Agoseris parviflora,1922,20.0294561386108
Opuntia wilcoxii,200,2.12452864646912
Orbexilum macrophyllum,3,1.39109230041504
Orbexilum melanocarpum,180,2.60960173606873
Orbexilum onobrychis,693,6.96534538269043
Orbexilum pedunculatum,3107,24.7708671092987
Orbexilum simplex,577,6.17823171615601
Orbexilum stipulatum,28,1.23764872550964
Orbexilum virgatum,170,2.19526863098145
Arceuthobium abietis-religiosae,170,1.4096941947937
Asplenium scolopendrium,157692,12220.8063879013
Arceuthobium apachecum,131,2.8403058052063
Orcuttia californica,522,3.82123303413391
Orcuttia inaequalis,297,2.84990191459656
Orcuttia pilosa,309,2.69260430335999
Orcuttia tenuis,509,4.34046769142151
Orcuttia viscida,186,1.85294461250305
Arceuthobium blumeri,121,2.48089671134949
Aldama dentata,2147,25.5749318599701
Oreocarya aperta,11,0.998444557189941
Oreocarya bakeri,270,3.60408425331116
Oreocarya breviflora,108,1.81395149230957
Oreocarya caespitosa,262,2.92690968513489
Oreocarya cana,320,4.02807140350342
Oreocarya capitata,100,2.42948913574219
Oreocarya confertiflora,1744,22.0293641090393
Oreocarya crymophila,60,1.32847380638123
Oreocarya elata,102,1.4485445022583
Oreocarya flava,1084,12.6117129325867
Oreocarya flavoculata,2019,22.1877534389496
Oreocarya fulvocanescens,689,13.2860510349274
Oreocarya hoffmannii,136,3.24510049819946
Oreocarya humilis,1738,22.2539641857147
Oreocarya insolita,16,1.10109734535217
Oreocarya interrupta,416,4.8095874786377
Oreocarya jonesiana,80,1.48827648162842
Oreocarya leucophaea,243,4.54447221755981
Oreocarya longiflora,203,2.99760341644287
Oreocarya mensana,80,2.00781726837158
Alomia ageratoides,69,1.3594765663147
Oreocarya nubigena,384,4.81640863418579
Alomia alata,217,1.74210834503174
Oreocarya oblata,242,3.36335468292236
Oreocarya osterhoutii,177,2.93875432014465
Oreocarya palmeri,274,4.27873826026917
Oreocarya paradoxa,205,2.65914845466614
Oreocarya paysonii,114,2.85462069511414
Oreocarya propria,144,2.05362844467163
Oreocarya rollinsii,171,3.61500144004822
Oreocarya rugulosa,165,2.71891069412231
Oreocarya salmonensis,91,1.83293604850769
Oreocarya sericea,373,6.77968168258667
Oreocarya setosissima,311,4.50182223320007
Oreocarya spiculifera,639,7.98774361610413
Oreocarya stricta,186,2.80694341659546
Oreocarya subretusa,70,1.4295825958252
Oreocarya suffruticosa,3142,57.0742068290711
Oreocarya tenuis,138,2.97055006027222
Oreocarya thompsonii,130,1.43514013290405
Oreocarya thyrsiflora,640,8.40489315986633
Arceuthobium campylopodum,6234,61.0215654373169
Oreocarya tumulosa,267,4.22914481163025
Oreocarya virginensis,626,5.09687089920044
Oreocarya weberi,109,2.18515253067017
Oreocarya wetherillii,71,2.25223636627197
Oreochrysum parryi,1426,13.2393882274628
Amblyolepis setigera,1598,10.7686338424683
Ambrosia acanthicarpa,3994,29.3069026470184
Ambrosia artemisiifolia,100908,4812.79698324204
Ambrosia bidentata,1637,15.3092806339264
Ambrosia bryantii,266,5.01316356658936
Ambrosia cheiranthifolia,57,0.802345991134644
Arceuthobium gillii,231,2.15893697738647
Ambrosia confertiflora,3178,31.5655906200409
Ambrosia divaricata,162,1.71470475196838
Arceuthobium globosum,797,10.9156849384308
Ambrosia hispida,2461,17.1302578449249
Ambrosia pumila,371,4.88671159744263
Ambrosia tomentosa,528,6.7604444026947
Oreomunnea mexicana,375,4.62383413314819
Oreonana clementis,165,2.51410150527954
Oreonana purpurascens,124,1.62614297866821
Oreopanax arcanus,55,1.10706639289856
Arceuthobium pendens,51,1.35329008102417
Arceuthobium pusillum,1844,17.3164715766907
Oreopanax sanderianus,333,2.63019132614136
Amphiachyris dracunculoides,2647,35.7809631824493
Arceuthobium rubrum,93,2.09841847419739
Arceuthobium strictum,63,1.0799252986908
Oreostemma elatum,70,1.59743499755859
Arceuthobium vaginatum,1977,32.4416942596436
Ormosia isthmensis,168,2.1384756565094
Ormosia macrocalyx,745,6.51660776138306
Ormosia oaxacana,34,1.13426303863525
Archibaccharis androgyna,139,3.3517906665802
Ormosia velutina,88,2.52736783027649
Archibaccharis asperifolia,962,8.85671925544739
Archibaccharis blakeana,36,0.724864721298218
Archibaccharis campii,5,0.580715656280518
Archibaccharis corymbosa,55,1.12552237510681
Archibaccharis flexilis,238,1.98900604248047
Ornithocarpa fimbriata,42,0.727017402648926
Ornithocarpa torulosa,64,1.4757707118988
Ornithocephalus tripterus,65,0.72817850112915
Archibaccharis hieracioides,379,4.00278973579407
Archibaccharis hirtella,508,4.55819511413574
Ornithostaphylos oppositifolia,994,7.83530020713806
Orobanche bulbosa,983,10.8965299129486
Orobanche californica,1670,33.1575524806976
Orobanche cooperi,2767,33.1169142723084
Orobanche corymbosa,1206,14.5922601222992
Orobanche dugesii,66,1.63038206100464
Orobanche fasciculata,6646,84.688019990921
Ancistrocarphus filagineus,1332,12.3739013671875
Orobanche ludoviciana,992,14.8121886253357
Orobanche multiflora,357,6.41660404205322
Orobanche parishii,487,8.70605325698853
Orobanche valida,90,3.75226521492004
Orobanche vallicola,80,2.00464272499084
Orochaenactis thysanocarpha,392,3.7352077960968
Archibaccharis peninsularis,105,0.957920551300049
Archibaccharis pringlei,20,1.09180283546448
Archibaccharis salmeoides,40,1.03889203071594
Orthilia secunda,103902,5208.27292752266
Orthion malpighiifolium,144,2.35816979408264
Archibaccharis schiedeana,1185,9.99631404876709
Orthion montanum,32,1.12192392349243
Orthion oblanceolatum,143,1.19288229942322
Orthion subsessile,229,2.57855248451233
Orthocarpus barbatus,208,1.88109254837036
Archibaccharis serratifolia,1264,13.810159444809
Orthocarpus cuspidatus,1489,24.1212270259857
Archibaccharis simplex,36,2.7544801235199
Anisocarpus madioides,3856,28.9921944141388
Anisocoma acaulis,2307,18.6774051189423
Archibaccharis standleyi,18,0.557202339172363
Archibaccharis subsessilis,131,1.23092269897461
Orthopappus angustifolius,2795,27.1209123134613
Antennaria alpina,11630,173.42246222496
Antennaria argentea,926,6.97996377944946
Orthosphenia mexicana,167,1.4140362739563
Orthrosanthus exsertus,318,4.43416500091553
Orthrosanthus monadelphus,492,4.99533271789551
Antennaria dimorpha,3216,23.8721075057983
Oryctanthus cordifolius,582,8.4459285736084
Antennaria flagellaris,434,3.17848539352417
Antennaria geyeri,678,4.99636363983154
Oryctanthus tehuacanensis,29,1.47656226158142
Arcteranthis cooleyae,389,3.46618223190308
Antennaria luzuloides,2293,21.5472183227539
Osbertia stolonifera,634,8.4698543548584
Antennaria racemosa,3153,22.7640414237976
Osmorhiza purpurea,1063,9.1827507019043
Arctomecon merriamii,535,3.93177580833435
Arctopoa eminens,1591,16.6350655555725
Ostrya knowltonii,485,4.42682814598084
Oteiza acuminata,128,1.71006417274475
Otopappus acuminatus,82,1.72748422622681
Otopappus brevipes,197,3.49010944366455
Otopappus guatemalensis,261,3.73420286178589
Otopappus imbricatus,210,5.158287525177
Otopappus koelzii,9,0.521918773651123
Otopappus mexicanus,52,1.75324869155884
Otopappus microcephalus,83,0.906713724136353
Otopappus scaber,223,1.92953109741211
Otopappus tequilanus,278,5.36212706565857
Otopappus verbesinoides,348,3.56222438812256
Arctostaphylos auriculata,584,4.70594096183777
Arctostaphylos australis,149,2.00518798828125
Arctostaphylos bakeri,296,5.60354423522949
Ottoschulzia pallida,134,1.39109373092651
Ouratea curvata,15,1.4347083568573
Ouratea insulae,179,2.11321115493774
Arctostaphylos canescens,1989,23.0126061439514
Ouratea madrensis,20,0.617947578430176
Arctostaphylos catalinae,196,1.50136208534241
Arctostaphylos columbiana,3964,26.8830490112305
Arctostaphylos confertiflora,119,8.39835071563721
Arctostaphylos crustacea,4420,97.2583184242249
Oxalis albicans,802,12.0924623012543
Oxalis alpina,974,12.2931044101715
Arctostaphylos cruzensis,225,2.96245265007019
Arctostaphylos densiflora,308,3.56168699264526
Arctostaphylos edmundsii,256,4.47553610801697
Oxalis caerulea,71,2.10456323623657
Arctostaphylos franciscana,206,3.39924168586731
Oxalis californica,1086,7.59483766555786
Aphanostephus pilosus,122,1.5723147392273
Aphanostephus riddellii,675,4.74466013908386
Arctostaphylos glandulosa,8977,150.8253865242
Oxalis clematodes,38,4.78010129928589
Oxalis corniculata,103878,5451.01858091354
Oxalis dichondrifolia,511,6.04806756973267
Oxalis dillenii,20338,686.337527036667
Oxalis dimidiata,126,4.23628568649292
Acer glabrum,20684,672.547728300095
Arctostaphylos glauca,8260,77.7197780609131
Oxalis frutescens,5358,109.308407783508
Arctostaphylos glutinosa,126,3.42759084701538
Arctostaphylos hispidula,402,6.97166562080383
Oxalis grandis,1416,13.1716318130493
Oxalis gregaria,53,1.27617144584656
Arctostaphylos hookeri,11624,141.653309345245
Arctostaphylos hooveri,223,2.90176057815552
Oxalis illinoensis,193,1.61406016349792
Arctostaphylos imbricata,410,4.58225345611572
Arctostaphylos insularis,583,7.00196528434753
Oxalis macrantha,416,11.2768776416779
Arctostaphylos klamathensis,131,1.66350054740906
Oxalis macrocarpa,40,4.96461629867554
Oxalis madrensis,34,4.26116943359375
Oxalis magnifica,47,7.64725375175476
Oxalis metcalfei,175,6.27823805809021
Arctostaphylos luciana,237,5.01944041252136
Oxalis nelsonii,111,8.01083135604858
Arctostaphylos manzanita,4739,71.0235214233398
Oxalis oregana,9229,81.2521603107452
Oxalis pilosa,1026,13.9076287746429
Oxalis primavera,28,1.36423802375793
Arctostaphylos mewukka,989,21.0906579494476
Arctostaphylos montana,966,34.2876546382904
Arctostaphylos montereyensis,540,7.19305419921875
Arctostaphylos morroensis,477,6.25050592422485
Oxalis rhombifolia,468,7.14170718193054
Oxalis robusta,68,1.93455839157105
Arctostaphylos myrtifolia,522,6.06547951698303
Arctostaphylos nevadensis,4371,54.8161866664887
Oxalis stricta,102092,6549.25544810295
Arctostaphylos nummularia,1767,23.2280020713806
Oxalis suksdorfii,449,3.21512079238892
Oxalis tetraphylla,3242,29.1304249763489
Arctostaphylos obispoensis,613,5.39513683319092
Arctostaphylos otayensis,267,2.21642971038818
Oxalis violacea,14760,345.446337223053
Arctostaphylos pajaroensis,521,4.83963942527771
Arctostaphylos pallida,477,3.99582076072693
Arctostaphylos parryana,1882,26.6323304176331
Oxandra maya,67,2.55651259422302
Arctostaphylos patula,8624,74.596373796463
Arctostaphylos peninsularis,510,7.12687826156616
Arctostaphylos pilosula,459,4.05581521987915
Arctostaphylos pringlei,2730,32.1718609333038
Arctostaphylos pumila,879,7.1780116558075
Arctostaphylos pungens,18927,167.417767524719
Arnica cordifolia,10711,100.251857757568
Arnica fulgens,1582,15.9508068561554
Arnica latifolia,5501,45.1296911239624
Arnica nevadensis,532,5.05290246009827
Arctostaphylos purissima,614,6.54079294204712
Arctostaphylos refugioensis,345,3.0370032787323
Arctostaphylos regismontana,526,3.38466501235962
Arctostaphylos rudis,565,3.8349175453186
Arnica unalaschcensis,645,4.94147539138794
Arnica viscosa,191,2.53122735023499
Arnoglossum reniforme,1363,14.5496475696564
Arctostaphylos silvicola,924,7.20363473892212
Arctostaphylos stanfordiana,1121,13.7349314689636
Oxylobus adscendens,201,2.49191427230835
Oxylobus oaxacanus,117,1.2288076877594
Artemisia californica,19797,750.736797571182
Oxypetalum cordifolium,1364,16.4011316299438
Oxypolis fendleri,866,6.73301601409912
Oxypolis occidentalis,395,3.56162166595459
Oxypolis ternata,325,4.56503438949585
Oxyrhynchus trinervius,219,2.79887962341309
Oxyrhynchus volubilis,176,2.28926849365234
Oxytheca dendroidea,920,14.447958946228
Artemisia franserioides,331,3.16214990615845
Oxytheca perfoliata,1180,8.24802255630493
Artemisia furcata,1615,19.4408302307129
Artemisia globularia,447,6.88584160804749
Oxytropis arctica,1139,17.5566728115082
Artemisia glomerata,1776,13.6038098335266
Oxytropis besseyi,1000,15.0823361873627
Oxytropis campestris,26750,1011.57276177406
Oxytropis deflexa,3410,46.6385753154755
Oxytropis huddelsonii,257,1.93524622917175
Oxytropis kokrinensis,55,0.781698226928711
Oxytropis lagopus,937,16.6615517139435
Oxytropis lambertii,7889,77.2958266735077
Arctostaphylos viridissima,239,3.5876100063324
Arctostaphylos viscida,5257,61.7977600097656
Oxytropis multiceps,600,8.38732075691223
Oxytropis nana,228,4.41774487495422
Oxytropis nigrescens,2455,35.0343332290649
Oxytropis oreophila,737,10.8261001110077
Astragalus polaris,197,3.6327760219574
Oxytropis scammaniana,353,2.59555554389954
Oxytropis sericea,4841,52.0244565010071
Ozomelis diversifolia,262,3.40761232376099
Ozomelis stauropetala,1992,20.7392485141754
Ozomelis trifida,1310,14.9225261211395
Arctous alpina,22390,699.237213850021
Artemisia longifolia,625,9.71279788017273
Pachira aquatica,4545,42.5917751789093
Arctous rubra,2630,34.8019177913666
Acer grandidentatum,4798,46.6712412834168
Artemisia michauxiana,1777,12.4215958118439
Pachycereus grandis,104,2.01436185836792
Pachycereus pecten-aboriginum,3580,33.7168765068054
Pachycereus pringlei,3780,41.5476257801056
Pachycereus weberi,482,13.8253643512726
Artemisia nesiotica,227,4.44157004356384
