NameID,Name
19601225,Abutilon hypoleucum A. Gray
19601226,Abutilon incanum (Link) Sweet
19600233,Abutilon jaliscanum Standl.
50044151,Abutilon macvaughii Fryxell
19600132,Abutilon malacum S. Watson
50125941,Abutilon mollicomum (Willd.) Sweet
19600007,Abutilon mucronatum J.E. Fryxell
19602420,Abutilon pachecoanum Standl. & Steyerm.
19601230,Abutilon palmeri A. Gray
19601231,Abutilon parishii S. Watson
19601232,Abutilon parvulum A. Gray
19601257,Abutilon percaudatum Hochr.
19601233,Abutilon permolle (Willd.) Sweet
50137300,Abutilon pinkavae Fryxell
50137302,Abutilon procerum Fryxell
19601268,Abutilon purpusii Standl.
19601234,Abutilon reventum S. Watson
19601260,Abutilon simulans Rose
19601261,Abutilon sphaerostaminum Hochr.
19601262,Abutilon straminicarpum Fryxell
19600296,Abutilon tehuantepecense Fryxell
19601242,Abutilon trisulcatum (Jacq.) Urb.
19601245,Abutilon wrightii A. Gray
50137312,Abutilon xanti A. Gray
13024459,Acacia rotundata Benth.
13004299,Acaciella angustissima (Mill.) Britton & Rose
100280733,Acaciella barrancana (Gentry) L. Rico
13004301,Acaciella bicolor Britton & Rose
100280734,Acaciella chamelensis (L. Rico) L. Rico
13004316,Acaciella goldmanii Britton & Rose
13004317,Acaciella hartwegii (Benth.) Britton & Rose
13004323,Acaciella igualensis Britton & Rose
13004325,Acaciella lemmonii (Rose) Britton & Rose
13004330,Acaciella painteri Britton & Rose
13004336,Acaciella rosei (Standl.) Britton & Rose
50278682,Acaciella sousae (L. Rico) L. Rico
13004345,Acaciella tequilana (S. Watson) Britton & Rose
13004349,Acaciella velutina Britton & Rose
13004350,Acaciella villosa (Sw.) Britton & Rose
27801690,Acaena elongata L.
27800013,Acaena pinnatifida Ruiz & Pav.
12800529,Acalypha adenostachya Müll. Arg.
50005331,Acalypha aliena Brandegee
12801950,Acalypha alopecuroidea Jacq.
12800531,Acalypha anadenia Standl.
12800536,Acalypha arvensis Poepp.
12800540,Acalypha botteriana Müll. Arg.
50171137,Acalypha brevicaulis Müll. Arg.
50171138,Acalypha burquezii V.W. Steinm. & Felger
12801952,Acalypha californica Benth.
12802222,Acalypha capitellata Brandegee
12801953,Acalypha chamaedrifolia (Lam.) Müll. Arg.
12805271,Acalypha chiapensis Brandegee
12800551,Acalypha cincta Müll. Arg.
12800552,Acalypha cinerea Pax & K. Hoffm.
12800554,Acalypha coleispica Pax & K. Hoffm.
50171145,Acalypha comonduana Millsp.
50171146,Acalypha confertiflora Pax & K. Hoffm.
12800559,Acalypha conspicua Müll. Arg.
50060990,Acalypha costaricensis (Kuntze) Knobl. ex Pax & K. Hoffm.
12806723,Acalypha cuspidata Jacq.
12801954,Acalypha deamii (Weath.) H.E. Ahles
50171147,Acalypha delgadoana McVaugh
12800563,Acalypha depauperata Müll. Arg.
50171148,Acalypha depressa Sessé & Moc.
12802225,Acalypha dioica S. Watson
12802425,Acalypha diversifolia Jacq.
12800571,Acalypha euphrasiostachys Bartlett
12804975,Acalypha ferdinandii K. Hoffm.
50171153,Acalypha filipes (S. Watson) McVaugh
12804976,Acalypha firmula Müll. Arg.
12800573,Acalypha fournieri Müll. Arg.
12800574,Acalypha frederici Müll. Arg.
12805367,Acalypha gaumeri Pax & K. Hoffm.
50171157,Acalypha gigantesca McVaugh
12802229,Acalypha glandulosa Cav.
12801955,Acalypha gracilens A. Gray
50171160,Acalypha grisea Pax & K. Hoffm.
12804978,Acalypha gummifera Lundell
12800578,Acalypha haploclada Pax & K. Hoffm.
12800580,Acalypha havanensis Müll. Arg.
12802230,Acalypha hypogaea S. Watson
12800589,Acalypha karwinskii Müll. Arg.
50171168,Acalypha katharinae Pax
50171170,Acalypha lagascana Müll. Arg.
50171171,Acalypha lagopus McVaugh
12800591,Acalypha lancetillae Standl.
12804979,Acalypha langiana Müll. Arg.
12800592,Acalypha laxiflora Müll. Arg.
12800593,Acalypha leptopoda Müll. Arg.
50236877,Acalypha liebmanniana Müll. Arg.
12802233,Acalypha lignosa Brandegee
12800596,Acalypha lindeniana Müll. Arg.
12800597,Acalypha longispicata Müll. Arg.
50145989,Acalypha longistipularis Müll. Arg.
12802428,Acalypha macrostachya Jacq.
12800602,Acalypha macrostachyoides Müll. Arg.
12800607,Acalypha melochiifolia Müll. Arg.
12800608,Acalypha mexicana Müll. Arg.
50171179,Acalypha michoacanensis Sessé & Moc.
12800609,Acalypha microcephala Müll. Arg.
50066805,Acalypha microphylla Klotzsch
50208623,Acalypha microstachya Benth.
12800610,Acalypha mollis Kunth
12801961,Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi
50171182,Acalypha monostachya Cav.
12802237,Acalypha mortoniana Lundell
50171184,Acalypha multiflora (Standl.) Radcl.-Sm.
50171185,Acalypha multispicata S. Watson
12802238,Acalypha neomexicana Müll. Arg.
50171189,Acalypha nubicola McVaugh
12800619,Acalypha ocymoides Kunth
50171190,Acalypha oligantha Müll. Arg.
12800620,Acalypha oligodonta Müll. Arg.
50171191,Acalypha oreopola Greenm.
12804812,Acalypha ostryifolia Riddell ex J.M. Coult.
50171195,Acalypha papillosa Rose
12800623,Acalypha persimilis Müll. Arg.
12804980,Acalypha phleoides Cav.
50171198,Acalypha pippenii McVaugh
12804920,Acalypha poiretii Spreng.
12800628,Acalypha polystachya Jacq.
50171200,Acalypha pseudovagans Pax & K. Hoffm.
12800633,Acalypha purpurascens Kunth
12802240,Acalypha purpusii Brandegee
12804919,Acalypha radians Torr.
12806867,Acalypha rafaelensis Standl.
12800636,Acalypha rhombifolia Schltdl.
12804612,Acalypha rhomboidea Raf.
12802243,Acalypha sabulicola Brandegee
50155270,Acalypha salvadorensis Standl.
50171206,Acalypha saxicola Wiggins
12800642,Acalypha schiedeana Schltdl.
12800643,Acalypha schlechtendaliana Müll. Arg.
12800644,Acalypha schlumbergeri Müll. Arg.
12805368,Acalypha seleriana Greenm.
50171212,Acalypha sessilifolia S. Watson
12804974,Acalypha setosa A. Rich.
12804982,Acalypha skutchii I.M. Johnst.
50171215,Acalypha subterranea Paul G. Wilson
50171216,Acalypha subtomentosa Lag.
50171225,Acalypha synoica Pax & K. Hoffm.
12805180,Acalypha tacanensis Lundell
12805181,Acalypha tamaulipasensis Lundell
12804984,Acalypha tenuicauda Pax & K. Hoffm.
12804985,Acalypha trachyloba Müll. Arg.
12800656,Acalypha tricholoba Müll. Arg.
12802247,Acalypha trilaciniata Paul G. Wilson
12804986,Acalypha triloba Müll. Arg.
50216821,Acalypha umbrosa Brandegee
50216824,Acalypha vagans Cav.
50171230,Acalypha vallartae McVaugh
12802248,Acalypha verbenacea Standl.
50171232,Acalypha veronicoides Pax
12800659,Acalypha villosa Jacq.
12804809,Acalypha virginica L.
2701603,Acamptopappus shockleyi A. Gray
50075003,Acamptopappus sphaerocephalus (Harv. & A. Gray) A. Gray
100388613,Acanthocereus castellae (Sánchez-Mej.) Lodé
5103879,Acanthocereus chiapensis Bravo
100388614,Acanthocereus cuixmalensis (Sánchez-Mej.) Lodé
100388615,Acanthocereus fosterianus (Cutak) Lodé
100475699,Acanthocereus haackeanus Backeb. ex Lodé
100470593,Acanthocereus hesperius D.R. Hunt
100388617,Acanthocereus macdougallii (Cutak) Lodé
5105700,Acanthocereus maculatus Weing. ex Bravo
100470594,Acanthocereus oaxacensis (Britton & Rose) Lodé
100388619,Acanthocereus rosei (J.G. Ortega) Lodé
100388620,Acanthocereus tepalcatepecanus (Sánchez-Mej.) Lodé
5105704,Acanthocereus tetragonus (L.) Hummelinck
25800732,Acanthogilia gloriosa (Brandegee) A.G. Day & Moran
17606004,Acanthomintha duttonii (Abrams) Jokerst
17601474,Acanthomintha ilicifolia A. Gray
17601475,Acanthomintha lanceolata Curran
17601476,Acanthomintha obovata Jeps.
50080724,Acanthoscyphus parishii (Parry) Small
50182091,Acanthothamnus aphyllus (Schltdl.) Standl.
100450939,Acer binzayedii Y.L.Vargas-Rodr.
50109390,Acer brachypterum Wooton & Standl.
200022,Acer circinatum Pursh
50003606,Acer floridanum (Chapm.) Pax
200023,Acer glabrum Torr.
200049,Acer grandidentatum Nutt.
50003623,Acer leucoderme Small
200029,Acer macrophyllum Pursh
50201881,Acer mexicanum A. Gray
200001,Acer negundo L.
200061,Acer nigrum F. Michx.
200034,Acer pensylvanicum L.
200035,Acer platanoides L.
200014,Acer rubrum L.
200038,Acer saccharinum L.
200039,Acer saccharum Marshall
200019,Acer skutchii Rehder
200002,Acer spicatum Lam.
50335366,Acharagma aguirreanum (Glass & R.A. Foster) Glass
50335404,Acharagma roseanum (Boed.) E.F. Anderson
24800215,Achatocarpus gracilis H. Walter
24800173,Achatocarpus nigricans Triana
50207508,Achatocarpus oaxacanus Standl.
2717095,Achillea alpina L.
2700015,Achillea millefolium L.
50071571,Achimenes admirabilis Wiehler
14000966,Achimenes antirrhina (DC.) C.V. Morton
50260407,Achimenes bella C.V. Morton
