concatenatedName,TropicosNameID,id,cardinality,canonicalstem,canonicalsimple,canonicalfull,authorship,year,quality
Crataegus × kelloggii Sarg.,50134466,e31a7f67-c6b6-5c67-bc51-3b4215d3d032,2,Crataegus kellogg,Crataegus kelloggii,Crataegus × kelloggii,Sarg.,,2
Crataegus × latebrosa Sarg.,50003814,646e5908-c8e2-5d23-a2d5-3ebfb7eb1a1a,2,Crataegus latebros,Crataegus latebrosa,Crataegus × latebrosa,Sarg.,,2
Crataegus × lucorum Sarg.,50134478,6fd78091-4b68-5fb3-a837-73605613c1c9,2,Crataegus lucor,Crataegus lucorum,Crataegus × lucorum,Sarg.,,2
Crataegus × ninae-celottiae K.I. Chr. & T.A. Dickinson,100398015,8a4b316e-cf3f-5662-bda5-6f9835904515,2,Crataegus ninae-celotti,Crataegus ninae-celottiae,Crataegus × ninae-celottiae,K.I. Chr. & T.A. Dickinson,,2
Crataegus × rufula Sarg.,50278700,5922e452-79e2-5dd8-af2c-390e8d510811,2,Crataegus ruful,Crataegus rufula,Crataegus × rufula,Sarg.,,2
Crataegus × sicca Sarg.,27803230,6a96eb07-f749-5a9b-9f68-6b437beb842f,2,Crataegus sicc,Crataegus sicca,Crataegus × sicca,Sarg.,,2
Crataegus × vailiae Britton,50134499,4f1f3055-8ab3-5648-a73a-c9c36e59a6dd,2,Crataegus uaili,Crataegus vailiae,Crataegus × vailiae,Britton,,2
Cucurbita × scabridifolia L.H. Bailey,50303418,a92db412-f138-5424-ae26-f850a050965b,2,Cucurbita scabridifol,Cucurbita scabridifolia,Cucurbita × scabridifolia,L.H. Bailey,,2
Cylindropuntia × kelvinensis (V.E. Grant & K.A. Grant) P.V. Heath,50201253,18719790-93d2-5d2d-8b32-59c6fcb23f49,2,Cylindropuntia keluinens,Cylindropuntia kelvinensis,Cylindropuntia × kelvinensis,(V.E. Grant & K.A. Grant) P.V. Heath,,2
Cylindropuntia × tetracantha (Toumey) F.M. Knuth,5100970,f48f7aaa-4f13-592f-981b-44d67ddcd27f,2,Cylindropuntia tetracanth,Cylindropuntia tetracantha,Cylindropuntia × tetracantha,(Toumey) F.M. Knuth,,2
Desmodium × humifusum (Muhl. ex Bigelow) L.C. Beck,13018431,3094dd8a-8b91-59ef-a234-6e9b1fe9f997,2,Desmodium humifus,Desmodium humifusum,Desmodium × humifusum,(Muhl. ex Bigelow) L.C. Beck,,2
"Diplazium × subternatum Testo, Sundue & A. Vasco",100468864,9f01aae6-e6f5-5c10-b512-bff9e191931d,2,Diplazium subternat,Diplazium subternatum,Diplazium × subternatum,"Testo, Sundue & A. Vasco",,2
"Diplazium × torresianum Testo, Sundue & A. Vasco",100468863,149f36d6-741e-5f33-ba82-c01d9f86b58f,2,Diplazium torresian,Diplazium torresianum,Diplazium × torresianum,"Testo, Sundue & A. Vasco",,2
Diplazium × verapax (Donn. Sm.) Hieron.,26607155,14c2344e-a4b1-51c2-9a84-29b8e5f9531b,2,Diplazium uerapax,Diplazium verapax,Diplazium × verapax,(Donn. Sm.) Hieron.,,2
Echinocereus × roetteri (Engelm.) Rümpler,5105451,b8699835-9ab2-5458-bf88-8442f144ee08,2,Echinocereus roetter,Echinocereus roetteri,Echinocereus × roetteri,(Engelm.) Rümpler,,2
Elymus × cayouetteorum (B. Boivin) Barkworth,50301441,a1b5049a-fd3f-54ac-82b0-c8c38a29314c,2,Elymus cayouetteor,Elymus cayouetteorum,Elymus × cayouetteorum,(B. Boivin) Barkworth,,2
Elymus × ebingeri G.C. Tucker,50114727,a396570b-d5b1-52e8-8490-ed01918d568f,2,Elymus ebinger,Elymus ebingeri,Elymus × ebingeri,G.C. Tucker,,2
Elymus × hansenii Scribn.,25518034,5749e804-fb90-56be-9d62-8b0a8f3b5f47,2,Elymus hansen,Elymus hansenii,Elymus × hansenii,Scribn.,,2
Elymus × palmerensis (Lepage) Barkworth & D.R. Dewey,25551778,6307eda9-36b2-5a5b-80f8-07332b57dfdb,2,Elymus palmerens,Elymus palmerensis,Elymus × palmerensis,(Lepage) Barkworth & D.R. Dewey,,2
Elymus × pinalenoensis (Pyrah) Barkworth & D.R. Dewey,25551779,44a49818-45ba-5ada-8bc5-804321e78afa,2,Elymus pinalenoens,Elymus pinalenoensis,Elymus × pinalenoensis,(Pyrah) Barkworth & D.R. Dewey,,2
Elymus × pseudorepens (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey,25546813,ffefa98d-1dc6-5ac2-9cf8-a5538ede9e7e,2,Elymus pseudorepens,Elymus pseudorepens,Elymus × pseudorepens,(Scribn. & J.G. Sm.) Barkworth & D.R. Dewey,,2
Elymus × saundersii Vasey,25518033,dc48781a-acd0-542c-b053-ad847cd02120,2,Elymus saunders,Elymus saundersii,Elymus × saundersii,Vasey,,2
Elymus × yukonensis (Scribn. & Merr.) Á. Löve,25511002,a4cdd020-4a21-5408-8d9a-45c8c9b5ff32,2,Elymus yukonens,Elymus yukonensis,Elymus × yukonensis,(Scribn. & Merr.) Á. Löve,,2
Encyclia × nizanburyi Pérez-García & Hágsater,100475753,696025e0-7622-5418-b6d3-27683c99624a,2,Encyclia nizanbury,Encyclia nizanburyi,Encyclia × nizanburyi,Pérez-García & Hágsater,,2
Equisetum × ferrissii Clute,26602004,deeeb290-d3b1-5e81-a76e-6f312fbab046,2,Equisetum ferriss,Equisetum ferrissii,Equisetum × ferrissii,Clute,,2
Equisetum × haukeanum Mickel & A.R. Sm.,50183945,d17b03e8-960a-5966-a49a-41503bc8c43d,2,Equisetum haukean,Equisetum haukeanum,Equisetum × haukeanum,Mickel & A.R. Sm.,,2
Equisetum × litorale Kühlew. ex Rupr.,26602008,b7bedc55-81bf-5ea2-891d-25e9096ad46a,2,Equisetum litoral,Equisetum litorale,Equisetum × litorale,Kühlew. ex Rupr.,,2
Equisetum × mackaii (Newman) Brichan,26615201,9d2bcc0a-9660-58ed-bd55-83fd5795bca6,2,Equisetum macka,Equisetum mackaii,Equisetum × mackaii,(Newman) Brichan,,2
Equisetum × nelsonii (A.A. Eaton) J.H. Schaffn.,26614186,9d6040b2-2a63-5fd7-a8b2-3ef04282d0d6,2,Equisetum nelson,Equisetum nelsonii,Equisetum × nelsonii,(A.A. Eaton) J.H. Schaffn.,,2
Eriogonum × ammei Reveal & Veilleux,100395549,c7781ab9-7ff9-5537-8abc-e4c12827c08d,2,Eriogonum amme,Eriogonum ammei,Eriogonum × ammei,Reveal & Veilleux,,2
Eupatorium × cordigerum (Fernald) Fernald,2713694,c6c81381-c688-5854-aab5-bba7b75bcc27,2,Eupatorium cordiger,Eupatorium cordigerum,Eupatorium × cordigerum,(Fernald) Fernald,,2
Eupatorium × pinnatifidum Elliott,2738501,570adf97-3eb9-5ddd-b48e-007111be1ffc,2,Eupatorium pinnatifid,Eupatorium pinnatifidum,Eupatorium × pinnatifidum,Elliott,,2
Eurybia × herveyi (A. Gray) G.L. Nesom,50009699,755025da-d02f-56b6-b714-0fe935472657,2,Eurybia heruey,Eurybia herveyi,Eurybia × herveyi,(A. Gray) G.L. Nesom,,2
Festuca × gonzalez-ledesmae Darbysh.,50324062,6ea1898c-e86a-5e0b-b79e-5852cbe4bf74,2,Festuca gonzalez-ledesm,Festuca gonzalez-ledesmae,Festuca × gonzalez-ledesmae,Darbysh.,,2
Festuca × miscella Darbysh.,50324061,7e9196ed-9b00-5234-b12a-3ea4d7de0c51,2,Festuca miscell,Festuca miscella,Festuca × miscella,Darbysh.,,2
Glyceria × occidentalis (Piper) J.C. Nelson,25516172,ba5d8d5c-ed37-5732-b76e-5c4937d79b49,2,Glyceria occidental,Glyceria occidentalis,Glyceria × occidentalis,(Piper) J.C. Nelson,,2
