concatenatedName,TropicosNameID,id,cardinality,canonicalstem,canonicalsimple,canonicalfull,authorship,year,quality
Tillandsia × smalliana H. Luther,4302421,7b91b69e-ab44-5641-8f2c-f643c1855609,2,Tillandsia smallian,Tillandsia smalliana,Tillandsia × smalliana,H. Luther,,2
"Trichocentrum × teaboanum (R. Jiménez, Carnevali & Tapia-Muñoz) R. Jiménez & Carnevali",50265503,b6d5b8d7-259c-5a02-b049-d360b925939a,2,Trichocentrum teaboan,Trichocentrum teaboanum,Trichocentrum × teaboanum,"(R. Jiménez, Carnevali & Tapia-Muñoz) R. Jiménez & Carnevali",,2
Vachellia × cedilloi (L. Rico) Seigler & Ebinger,50294101,5101020d-b8c5-5024-8522-f6f552f178a6,2,Vachellia cedillo,Vachellia cedilloi,Vachellia × cedilloi,(L. Rico) Seigler & Ebinger,,2
Vachellia × ruthvenii Seigler & Ebinger,100446360,0a6f800c-7f1f-5264-a4de-bcda825a3f12,2,Vachellia ruthuen,Vachellia ruthvenii,Vachellia × ruthvenii,Seigler & Ebinger,,2
Vachellia × standleyi (Saff.) Seigler & Ebinger,50294151,739490a7-69c4-5b3d-9cbb-d7f9dd6b4d9e,2,Vachellia standley,Vachellia standleyi,Vachellia × standleyi,(Saff.) Seigler & Ebinger,,2
Vachellia × ziggyi Seigler & Ebinger,100471111,7e1c415a-b76e-5b31-982e-233601053e47,2,Vachellia ziggy,Vachellia ziggyi,Vachellia × ziggyi,Seigler & Ebinger,,2
Vitis × champinii Planch.,34000890,773dd8e0-e9db-5aff-a2e1-0b7f464ca6e3,2,Vitis champin,Vitis champinii,Vitis × champinii,Planch.,,2
Vitis × doaniana Munson ex Viala,34000891,460b255b-bfe6-5923-a0e6-c4da5e3f5f84,2,Vitis doanian,Vitis doaniana,Vitis × doaniana,Munson ex Viala,,2
Vitis × novae-angliae Fernald,34000210,fe66d917-0297-5ec8-a888-ff58c5120e70,2,Vitis nouae-angli,Vitis novae-angliae,Vitis × novae-angliae,Fernald,,2
Washingtonia × filibusta hort. ex Hodel,100400234,735af85e-49af-5a8c-b659-8c2862df5bb8,2,Washingtonia filibust,Washingtonia filibusta,Washingtonia × filibusta,,,4
Wisteria × formosa Rehder,13064619,30a65be9-bf44-550e-abdc-4c5e13bf495e,2,Wisteria formos,Wisteria formosa,Wisteria × formosa,Rehder,,2
× Achnella caduca (Beal) Barkworth,50089730,d2cf604a-1993-596d-85e8-490f436b76aa,2,Achnella caduc,Achnella caduca,× Achnella caduca,(Beal) Barkworth,,2
× Agropogon lutosus (Poir.) P. Fourn.,25557959,749760e1-0a04-5973-9314-de10a3124fc1,2,Agropogon lutos,Agropogon lutosus,× Agropogon lutosus,(Poir.) P. Fourn.,,2
× Arctodupontia scleroclada (Rupr.) Tzvelev,25535921,11e1f964-48ba-570a-9cfa-8ff85ad0ffa9,2,Arctodupontia scleroclad,Arctodupontia scleroclada,× Arctodupontia scleroclada,(Rupr.) Tzvelev,,2
× Dupoa labradorica (Steud.) J. Cay. & Darbysh.,25560844,0e3c807d-fc46-5e27-ab85-6dcb7f869b93,2,Dupoa labradoric,Dupoa labradorica,× Dupoa labradorica,(Steud.) J. Cay. & Darbysh.,,2
× Elyhordeum arcuatum W.W. Mitch. & H.J. Hodgs.,25535924,6a5f0926-7da0-57e6-b605-e60e2f3b3d81,2,Elyhordeum arcuat,Elyhordeum arcuatum,× Elyhordeum arcuatum,W.W. Mitch. & H.J. Hodgs.,,2
× Elyhordeum californicum (Bowden) Barkworth,50218941,47f76fae-2375-58c1-ae8b-19df862db518,2,Elyhordeum californic,Elyhordeum californicum,× Elyhordeum californicum,(Bowden) Barkworth,,2
× Elyhordeum dakotense (Bowden) Bowden,25547520,891c0864-f289-54c7-af20-fde083e34660,2,Elyhordeum dakotens,Elyhordeum dakotense,× Elyhordeum dakotense,(Bowden) Bowden,,2
× Elyhordeum iowense R.W. Pohl,25547522,98cc48c0-8ad0-53c4-89de-f569ca56c6e8,2,Elyhordeum iowens,Elyhordeum iowense,× Elyhordeum iowense,R.W. Pohl,,2
× Elyhordeum jordalii (Melderis) Tzvelev,25535927,74ad91b9-2ce9-5a52-8b82-e0ca2bd12f84,2,Elyhordeum iordal,Elyhordeum jordalii,× Elyhordeum jordalii,(Melderis) Tzvelev,,2
× Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey,25546787,c2521843-ca07-53e3-9349-050195c3fb9f,2,Elyhordeum macoun,Elyhordeum macounii,× Elyhordeum macounii,(Vasey) Barkworth & D.R. Dewey,,2
× Elyhordeum montanense (Scribn. ex Beal) Bowden,25511935,64fd6277-9e08-5ba3-96f1-d5492d8ae01b,2,Elyhordeum montanens,Elyhordeum montanense,× Elyhordeum montanense,(Scribn. ex Beal) Bowden,,2
× Elyhordeum pilosilemma (W.W. Mitch. & H.J. Hodgs.) Barkworth,50219691,0b99e7c7-aca7-56ff-a4c5-e0cc774fabd6,2,Elyhordeum pilosilemm,Elyhordeum pilosilemma,× Elyhordeum pilosilemma,(W.W. Mitch. & H.J. Hodgs.) Barkworth,,2
× Elyhordeum schaackianum (Bowden) Bowden,25511937,c24e78b0-af16-55e9-b6ff-b8cb6e8a1df7,2,Elyhordeum schaackian,Elyhordeum schaackianum,× Elyhordeum schaackianum,(Bowden) Bowden,,2
× Elyhordeum stebbinsianum (Bowden) Bowden,25511938,0d28e892-5a71-5335-beb7-2954cd0e2ff2,2,Elyhordeum stebbinsian,Elyhordeum stebbinsianum,× Elyhordeum stebbinsianum,(Bowden) Bowden,,2
× Hemionanthes gryphus (Mickel) Mickel,50235359,3d6df14b-24d3-5aaf-a800-315f26a1313d,2,Hemionanthes gryph,Hemionanthes gryphus,× Hemionanthes gryphus,(Mickel) Mickel,,2
× Pachebergia apicostata S. Arias & Terrazas,100447539,c381f18c-b633-519a-b6b0-3e0e9c6a1be4,2,Pachebergia apicostat,Pachebergia apicostata,× Pachebergia apicostata,S. Arias & Terrazas,,2
× Pascoleymus bowdenii (B. Boivin) Barkworth,50301446,78461739-3dec-5d2e-bcd5-5993a7d8649a,2,Pascoleymus bowden,Pascoleymus bowdenii,× Pascoleymus bowdenii,(B. Boivin) Barkworth,,2
× Polascontria huajuapensis Y. Cruz & S. Vázquez,100475698,1e256e15-d3d9-5817-933b-58e7a09adbc8,2,Polascontria huaiuapens,Polascontria huajuapensis,× Polascontria huajuapensis,Y. Cruz & S. Vázquez,,2
× Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey,50085816,4edecca5-19ff-53ba-bfc7-b8716be714af,2,Pseudelymus saxicol,Pseudelymus saxicola,× Pseudelymus saxicola,(Scribn. & J.G. Sm.) Barkworth & D.R. Dewey,,2
× Pucciphippsia vacillans (Th. Fr.) Tzvelev,25535944,02bc3fdb-e366-5751-b55a-f14668240d5d,2,Pucciphippsia uacillans,Pucciphippsia vacillans,× Pucciphippsia vacillans,(Th. Fr.) Tzvelev,,2
